maxInf; numberOfFirstColumns; columnsPerIteration; infCut; time; loadTime; populateTime; firstColumnsTime; iteration; solvingTime; solutionValue; averageInversedWeights; minInversedWeight; maxInversedWeight; averageTreeSize; minTreeSize; maxTreeSize; percentage; numberOfPeople;
10; 100; 1; 0.1; 364908; 68638; 12911; 73718; 33; 4549; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 371832; 68638; 12911; 73718; 34; 4597; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 377880; 68638; 12911; 73718; 35; 4666; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 383367; 68638; 12911; 73718; 36; 4527; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 389396; 68638; 12911; 73718; 37; 4901; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 396054; 68638; 12911; 73718; 38; 4579; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 402784; 68638; 12911; 73718; 39; 4706; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 408471; 68638; 12911; 73718; 40; 4667; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 1; 0.1; 414122; 68638; 12911; 73718; 41; 4645; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 172574; 68457; 12867; 74870; 1; 1835; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 188203; 68457; 12867; 74870; 2; 5111; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 202456; 68457; 12867; 74870; 3; 4541; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 213857; 68457; 12867; 74870; 4; 4614; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 225798; 68457; 12867; 74870; 5; 4500; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 100; 10; 0.1; 231233; 68457; 12867; 74870; 6; 4550; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 183415; 67760; 13136; 83449; 1; 2124; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 199663; 67760; 13136; 83449; 2; 5661; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 214028; 67760; 13136; 83449; 3; 4650; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 225769; 67760; 13136; 83449; 4; 4571; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 237884; 67760; 13136; 83449; 5; 4595; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 200; 10; 0.1; 243512; 67760; 13136; 83449; 6; 4666; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 196218; 67685; 16381; 92641; 1; 2570; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 214501; 67685; 16381; 92641; 2; 7500; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 229125; 67685; 16381; 92641; 3; 4909; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 241354; 67685; 16381; 92641; 4; 5142; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 254423; 67685; 16381; 92641; 5; 5018; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 400; 10; 0.1; 260322; 67685; 16381; 92641; 6; 4866; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 800; 10; 0.1; 221464; 69041; 23682; 109698; 1; 2266; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 800; 10; 0.1; 241289; 69041; 23682; 109698; 2; 7770; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
10; 800; 10; 0.1; 256656; 69041; 23682; 109698; 3; 5372; 1037.35; 92.137; 71.3011; 130.727; 1526; 1051; 2160; 0.347373; 3440; 
