model; maxInf/percentage; initialC; infCut; tTotal(s); tPopulate(s); tInitialC(s); tSolver(s); solutionValue; averageSIW; minSIW; maxSIW; averageTreeSize; minTreeSize; maxTreeSize; reachedPercentage; numberOfPeople;;
1 ; 2; 2; 0.5; 111; 0; 2; 37; 5.165; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 98; 0; 4; 66; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 80; 0; 3; 33; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 73; 0; 4; 33; 5.16; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 111; 0; 5; 78; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 93; 0; 5; 41; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 57; 0; 3; 27; 5.16; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 89; 0; 3; 61; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 75; 0; 3; 33; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 64; 0; 2; 32; 5.165; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 96; 0; 3; 65; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 85; 0; 3; 39; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 73; 0; 2; 36; 5.165; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 87; 0; 4; 59; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 85; 0; 3; 41; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
1 ; 2; 2; 0.5; 5754; 0; 5677; 45; 5.165; 1.5; 1.17; 1.83; 6; 5; 7; 62.5; 5; 
2 ;2; 1; 0.5; 94; 0; 4; 65; 7; 1.83; 1.83; 1.83; 7; 7; 7; 87.5; 7; 
3 ; 90; 2; 0.5; 102; 0; 5; 47; 2; 1.5; 1.17; 1.83; 6; 5; 7; 100; 8; 
